x;y;label
10;-2.178444524;c
11;-2.232903141;c
12;-2.232903141;c
13;-1.80734126;c
14;-1.80734126;c
15;-3.712703953;c
16;-3.712703953;c
17;-3.967333385;c
18;-3.967333385;c
19;-2.240284774;c
20;-2.240284774;c
21;-4.444793504;c
22;-4.444793504;c
23;-4.638540351;c
24;-4.638540351;c
25;-4.823252005;c
26;-4.823252005;c
27;-4.715480345;c
28;-4.715480345;c
29;-4.808659507;c
30;-4.808659507;c
31;-4.514660817;c
32;-4.514660817;c
33;-5.082893768;c
34;-5.082893768;c
35;-4.415945772;c
36;-4.415945772;c
37;-5.176788885;c
38;-5.176788885;c
39;-5.215393241;c
40;-5.215393241;c
41;-4.642839133;c
42;-4.642839133;c
43;-5.008485851;c
44;-5.008485851;c
45;-5.177173481;c
46;-5.177173481;c
47;-5.181642275;c
48;-5.181642275;c
49;-5.182017429;c
50;-5.182017429;c
51;-5.144964369;c
52;-5.144964369;c
53;-5.181929144;c
54;-5.181929144;c
55;-5.165932159;c
56;-5.165932159;c
57;-5.184475029;c
58;-5.184475029;c
59;-5.184415887;c
60;-5.184415887;c
