x;y;label
4;0.000974272;a
5;0.000665365;a
6;0.000467802;a
7;0.000336044;a
8;0.000245434;a
9;0.000181643;a
10;0.000135894;a
11;0.000102589;a
12;7.80414E-05;a
13;5.97596E-05;a
14;4.6023E-05;a
15;3.56224E-05;a
16;2.76952E-05;a
17;2.16177E-05;a
18;1.69342E-05;a
19;1.33082E-05;a
20;1.04892E-05;a
21;8.28944E-06;a
22;6.56707E-06;a
23;5.21429E-06;a
24;4.14878E-06;a
25;3.30736E-06;a
26;2.64131E-06;a
27;2.11291E-06;a
28;1.69284E-06;a
29;1.35827E-06;a
30;1.09131E-06;a
31;8.77942E-07;a
32;7.07148E-07;a
33;5.7023E-07;a
34;4.60319E-07;a
35;3.71973E-07;a
36;3.00874E-07;a
37;2.43588E-07;a
38;1.97382E-07;a
39;1.60074E-07;a
40;1.29921E-07;a
41;1.05528E-07;a
42;8.57767E-08;a
43;6.97705E-08;a
44;5.67887E-08;a
45;4.62517E-08;a
46;3.76928E-08;a
47;3.07357E-08;a
48;2.50767E-08;a
49;2.04708E-08;a
50;1.67195E-08;a
51;1.36625E-08;a
52;1.11698E-08;a
53;9.13614E-09;a
54;7.47611E-09;a
55;6.12036E-09;a
56;5.01257E-09;a
57;4.10696E-09;a
58;3.36627E-09;a
59;2.76022E-09;a
60;2.26411E-09;a
61;1.85783E-09;a
62;1.52498E-09;a
63;1.25219E-09;a
64;1.02852E-09;a
65;8.45076E-10;a
66;6.94561E-10;a
67;5.71024E-10;a
68;4.69595E-10;a
69;3.86292E-10;a
70;3.17853E-10;a
71;2.61609E-10;a
72;2.15373E-10;a
73;1.77353E-10;a
74;1.46081E-10;a
75;1.20352E-10;a
76;9.9177E-11;a
77;8.1747E-11;a
78;6.7395E-11;a
79;5.5575E-11;a
80;4.5837E-11;a
81;3.7813E-11;a
82;3.1201E-11;a
83;2.5749E-11;a
84;2.1254E-11;a
85;1.7548E-11;a
86;1.449E-11;a
87;1.1967E-11;a
88;9.88498E-12;a
89;8.16702E-12;a
90;6.74799E-12;a
